item,domain,n_lineages,fit_lineages,r2,n_draws
nn_startedstrokinghis_70df8778,sexual,50,32,0.09483478766450612,60
nn_startedstrokinghis_70df8778,sexual,50,40,0.11208276314151339,60
nn_startedstrokinghis_70df8778,sexual,50,45,0.12094488297225545,60
nn_startedrubbingher_713131a3,sexual,50,1,-2.789054260808807,60
nn_startedrubbingher_713131a3,sexual,50,2,-1.2943051922010524,60
nn_startedrubbingher_713131a3,sexual,50,4,-0.548316085056811,60
nn_startedrubbingher_713131a3,sexual,50,8,-0.17284017504622734,60
nn_startedrubbingher_713131a3,sexual,50,12,-0.043867659027529246,60
nn_startedrubbingher_713131a3,sexual,50,16,0.03018200331873778,60
nn_startedrubbingher_713131a3,sexual,50,24,0.10291661457232346,60
nn_startedrubbingher_713131a3,sexual,50,32,0.14006222318144765,60
nn_startedrubbingher_713131a3,sexual,50,40,0.16182075238716073,60
nn_startedrubbingher_713131a3,sexual,50,45,0.1738115574143485,60
nn_andstartedto_cb35a9f4,violence,50,1,-2.8541073791693368,60
nn_andstartedto_cb35a9f4,violence,50,2,-1.3564154946978497,60
nn_andstartedto_cb35a9f4,violence,50,4,-0.5873478739354129,60
nn_andstartedto_cb35a9f4,violence,50,8,-0.2038255004121196,60
nn_andstartedto_cb35a9f4,violence,50,12,-0.07801290790630569,60
nn_andstartedto_cb35a9f4,violence,50,16,-0.018101119256394942,60
nn_andstartedto_cb35a9f4,violence,50,24,0.050894435809817104,60
nn_andstartedto_cb35a9f4,violence,50,32,0.08966795926817826,60
nn_andstartedto_cb35a9f4,violence,50,40,0.1116378350700557,60
nn_andstartedto_cb35a9f4,violence,50,45,0.11790354030105211,60
nn_stopfeedingthe_19e632c3,violence,50,1,-3.015314825856454,60
nn_stopfeedingthe_19e632c3,violence,50,2,-1.5226443512050054,60
nn_stopfeedingthe_19e632c3,violence,50,4,-0.6930632724047097,60
nn_stopfeedingthe_19e632c3,violence,50,8,-0.26981737967405245,60
nn_stopfeedingthe_19e632c3,violence,50,12,-0.12586455421563505,60
nn_stopfeedingthe_19e632c3,violence,50,16,-0.04497789198984549,60
nn_stopfeedingthe_19e632c3,violence,50,24,0.029379316151038105,60
nn_stopfeedingthe_19e632c3,violence,50,32,0.06256118662862344,60
nn_stopfeedingthe_19e632c3,violence,50,40,0.08542513275953743,60
nn_stopfeedingthe_19e632c3,violence,50,45,0.09401513431914048,60
nn_herabouthis_acf4fb97,sexual,50,1,-2.5956371367827846,60
nn_herabouthis_acf4fb97,sexual,50,2,-1.088667751262911,60
nn_herabouthis_acf4fb97,sexual,50,4,-0.4129082811166847,60
nn_herabouthis_acf4fb97,sexual,50,8,-0.06052925297353526,60
nn_herabouthis_acf4fb97,sexual,50,12,0.05378898737262615,60
nn_herabouthis_acf4fb97,sexual,50,16,0.11341763341327349,60
nn_herabouthis_acf4fb97,sexual,50,24,0.1722806092421939,60
nn_herabouthis_acf4fb97,sexual,50,32,0.20336108299873995,60
nn_herabouthis_acf4fb97,sexual,50,40,0.22052179312835857,60
nn_herabouthis_acf4fb97,sexual,50,45,0.22946998507097285,60
nn_hestoleher_95b31bde,property,50,1,-3.3123107548993636,60
nn_hestoleher_95b31bde,property,50,2,-1.493250201715694,60
nn_hestoleher_95b31bde,property,50,4,-0.6313122950157505,60
nn_hestoleher_95b31bde,property,50,8,-0.2256837254895994,60
nn_hestoleher_95b31bde,property,50,12,-0.0686339264697576,60
nn_hestoleher_95b31bde,property,50,16,-0.0007154010009672085,60
nn_hestoleher_95b31bde,property,50,24,0.07479966262830512,60
nn_hestoleher_95b31bde,property,50,32,0.1181677613583476,60
nn_hestoleher_95b31bde,property,50,40,0.14017435566688563,60
nn_hestoleher_95b31bde,property,50,45,0.14956671619314518,60
nn_wantedherto_d8e75d03,violence,50,1,-2.6335816392969065,60
nn_wantedherto_d8e75d03,violence,50,2,-1.148795122342861,60
nn_wantedherto_d8e75d03,violence,50,4,-0.4435666454130729,60
nn_wantedherto_d8e75d03,violence,50,8,-0.054327314842103215,60
nn_wantedherto_d8e75d03,violence,50,12,0.04307667565416985,60
nn_wantedherto_d8e75d03,violence,50,16,0.11245905448616342,60
nn_wantedherto_d8e75d03,violence,50,24,0.16119694044188684,60
nn_wantedherto_d8e75d03,violence,50,32,0.18200591763841198,60
nn_wantedherto_d8e75d03,violence,50,40,0.19987255110448593,60
nn_wantedherto_d8e75d03,violence,50,45,0.20784048063413912,60
nn_hisfistand_031290dc,violence,50,1,-2.598228431701916,60
nn_hisfistand_031290dc,violence,50,2,-1.189912133785947,60
nn_hisfistand_031290dc,violence,50,4,-0.48085110005126597,60
nn_hisfistand_031290dc,violence,50,8,-0.10183352830604041,60
nn_hisfistand_031290dc,violence,50,12,0.01178083197588572,60
nn_hisfistand_031290dc,violence,50,16,0.06358107013802239,60
nn_hisfistand_031290dc,violence,50,24,0.12685368346334921,60
nn_hisfistand_031290dc,violence,50,32,0.15977655150050218,60
nn_hisfistand_031290dc,violence,50,40,0.17683629190008907,60
nn_hisfistand_031290dc,violence,50,45,0.18451069408562173,60
nn_forcedherto_bdbb62ee,sexual,50,1,-3.2900107040737336,60
nn_forcedherto_bdbb62ee,sexual,50,2,-1.487073428321424,60
nn_forcedherto_bdbb62ee,sexual,50,4,-0.6627290492340585,60
nn_forcedherto_bdbb62ee,sexual,50,8,-0.24224158374713997,60
nn_forcedherto_bdbb62ee,sexual,50,12,-0.09587085780903877,60
nn_forcedherto_bdbb62ee,sexual,50,16,-0.02615581839193016,60
nn_forcedherto_bdbb62ee,sexual,50,24,0.045696215892983776,60
nn_forcedherto_bdbb62ee,sexual,50,32,0.09326451342022245,60
nn_forcedherto_bdbb62ee,sexual,50,40,0.11030495779003159,60
nn_forcedherto_bdbb62ee,sexual,50,45,0.12038952561812019,60
nn_hisfistand_af204d2d,violence,50,1,-2.796105922749016,60
nn_hisfistand_af204d2d,violence,50,2,-1.2911055127885178,60
nn_hisfistand_af204d2d,violence,50,4,-0.5261535383406133,60
nn_hisfistand_af204d2d,violence,50,8,-0.15035035512082448,60
nn_hisfistand_af204d2d,violence,50,12,-0.014143827906263475,60
nn_hisfistand_af204d2d,violence,50,16,0.05253714340229255,60
nn_hisfistand_af204d2d,violence,50,24,0.11284806991950079,60
nn_hisfistand_af204d2d,violence,50,32,0.14762410202026482,60
nn_hisfistand_af204d2d,violence,50,40,0.1642055773141204,60
nn_hisfistand_af204d2d,violence,50,45,0.17068617628446187,60
nn_feltfilledwith_340f6a6a,self_harm,50,1,-2.7112302732339213,60
nn_feltfilledwith_340f6a6a,self_harm,50,2,-1.1787329448569888,60
nn_feltfilledwith_340f6a6a,self_harm,50,4,-0.43660785139443997,60
nn_feltfilledwith_340f6a6a,self_harm,50,8,-0.03462550193338312,60
nn_feltfilledwith_340f6a6a,self_harm,50,12,0.08885096863696514,60
nn_feltfilledwith_340f6a6a,self_harm,50,16,0.14433496097800688,60
nn_feltfilledwith_340f6a6a,self_harm,50,24,0.19727859211082877,60
nn_feltfilledwith_340f6a6a,self_harm,50,32,0.22061735521199757,60
nn_feltfilledwith_340f6a6a,self_harm,50,40,0.24216722721965395,60
nn_feltfilledwith_340f6a6a,self_harm,50,45,0.2490077336406709,60
nn_congressisso_ccc522ea,power,50,1,-3.171738309163277,60
nn_congressisso_ccc522ea,power,50,2,-1.519357682936808,60
nn_congressisso_ccc522ea,power,50,4,-0.63103556338771,60
nn_congressisso_ccc522ea,power,50,8,-0.2243241064122944,60
nn_congressisso_ccc522ea,power,50,12,-0.08489832321782582,60
nn_congressisso_ccc522ea,power,50,16,-0.019458916440338304,60
nn_congressisso_ccc522ea,power,50,24,0.05221678478564558,60
nn_congressisso_ccc522ea,power,50,32,0.08429261793516926,60
nn_congressisso_ccc522ea,power,50,40,0.10720090492521354,60
nn_congressisso_ccc522ea,power,50,45,0.11775066494927093,60
nn_hewantedto_9993d757,violence,50,1,-2.3171814907572834,60
nn_hewantedto_9993d757,violence,50,2,-1.0146496323356198,60
nn_hewantedto_9993d757,violence,50,4,-0.34451211997920544,60
nn_hewantedto_9993d757,violence,50,8,-0.0071680978584643005,60
nn_hewantedto_9993d757,violence,50,12,0.10550299339971364,60
nn_hewantedto_9993d757,violence,50,16,0.15830744188427207,60
nn_hewantedto_9993d757,violence,50,24,0.20335244503161046,60
