dose,table,lang,target,med_slope,up,dn,n,p
lift,fields,en,S7.4-,-0.00016076236132670033,21,28,49,0.3916029105474905
lift,fields,en,B2+,0.00014340726421163845,23,17,40,0.42959050784338615
lift,fields,en,N3.4,-1.3625275773135844e-07,21,27,48,0.4708790136217118
lift,fields,en,O1.3,2.6386250838726514e-05,27,21,48,0.4708790136217118
lift,fields,en,A11.2+,2.659242597186296e-05,28,22,50,0.47988766169832786
lift,fields,en,A13.5,-4.4163258342488065e-05,22,28,50,0.47988766169832786
lift,fields,en,A5.2+,-7.325913067034797e-05,22,28,50,0.47988766169832786
lift,fields,en,A7+++,-8.440972509483809e-05,22,28,50,0.47988766169832786
lift,fields,en,B5,9.969288219238413e-05,28,22,50,0.47988766169832786
lift,fields,en,C1,-5.520016837980217e-05,22,28,50,0.47988766169832786
lift,fields,en,E3+,0.00012981713609021034,28,22,50,0.47988766169832786
lift,fields,en,E4.1+,-0.00020969609739926673,22,28,50,0.47988766169832786
lift,fields,en,F2,-0.00013161237505527132,22,28,50,0.47988766169832786
lift,fields,en,I3.1,-8.737174155474686e-05,22,28,50,0.47988766169832786
lift,fields,en,K5.1,-0.00019780155480644392,22,28,50,0.47988766169832786
lift,fields,en,L2,5.075758754371933e-05,28,22,50,0.47988766169832786
lift,fields,en,M3,6.691404464419427e-05,28,22,50,0.47988766169832786
lift,fields,en,M8,0.0001522697260403888,28,22,50,0.47988766169832786
lift,fields,en,N2,-8.504315746869025e-05,22,28,50,0.47988766169832786
lift,fields,en,N3.2-,6.973314097447034e-05,28,22,50,0.47988766169832786
lift,fields,en,N3.3-,9.039114276797528e-05,28,22,50,0.47988766169832786
lift,fields,en,N3.6,-3.24645067972437e-05,22,28,50,0.47988766169832786
lift,fields,en,N3.8+fn,-6.184224434890037e-05,22,28,50,0.47988766169832786
lift,fields,en,S1.1.2+,-0.0002807345612556769,22,28,50,0.47988766169832786
lift,fields,en,S3.1,-6.599220714188249e-05,22,28,50,0.47988766169832786
lift,fields,en,T1.2,0.00017749755225193107,28,22,50,0.47988766169832786
lift,fields,en,T3-,0.00022999933565855395,28,22,50,0.47988766169832786
lift,fields,en,W3,5.529285956297694e-05,28,22,50,0.47988766169832786
lift,fields,en,X2.3,-0.00018945848145656726,22,28,50,0.47988766169832786
lift,fields,en,X2.6+,-0.00020686232216724057,22,28,50,0.47988766169832786
lift,fields,en,X3.2+,-3.9738294137629554e-05,22,28,50,0.47988766169832786
lift,fields,en,X3.2++,0.00015413021476309456,28,22,50,0.47988766169832786
lift,fields,en,X5.1-,7.079421267959843e-05,28,22,50,0.47988766169832786
lift,fields,en,X7-,9.497469528381926e-05,28,22,50,0.47988766169832786
lift,fields,en,O1.2-,0.00037223115748553123,23,18,41,0.5327092552361137
lift,fields,en,N3.7,-0.00019229332380903857,10,14,24,0.5412561893463135
lift,fields,en,N3.7--,-1.0947309294239673e-05,19,24,43,0.542384011856484
lift,fields,en,S7.1,4.100780299461865e-05,25,20,45,0.5514843298025198
lift,fields,en,A13.7,8.280698076896404e-05,27,22,49,0.5681724128491652
lift,fields,en,Q4.1,-8.454220228677979e-05,22,27,49,0.5681724128491652
lift,fields,en,F2++,0.0005540508855063763,3,1,4,0.625
lift,fields,en,S1.2.3+,8.454124934103668e-05,3,1,4,0.625
lift,fields,en,S9m,7.099461405426787e-05,3,1,4,0.625
lift,fields,en,Q4.2,-0.0003637119556786276,7,10,17,0.629058837890625
lift,fields,en,S4c,0.0006520616168395253,10,7,17,0.629058837890625
lift,fields,en,N3.8+++,5.684283446770455e-05,22,18,40,0.6358280026288412
lift,fields,en,S6-,2.7467339100311863e-05,22,18,40,0.6358280026288412
lift,fields,en,O1,-4.4516828963926764e-05,21,25,46,0.6587380770236564
lift,fields,en,Z2c,-2.7086660465196844e-05,22,26,48,0.6654658120766186
lift,fields,en,A1.3+,-2.8341599374514188e-05,23,27,50,0.6718110337653656
lift,fields,en,A10-,-0.00011779058231430793,23,27,50,0.6718110337653656
lift,fields,en,A5.1-,5.694861797060737e-05,27,23,50,0.6718110337653656
lift,fields,en,A6.1-,-2.4673476419205558e-05,23,27,50,0.6718110337653656
lift,fields,en,B4,-0.000102873350113544,23,27,50,0.6718110337653656
lift,fields,en,E4.1-,-0.00010093683476807545,23,27,50,0.6718110337653656
lift,fields,en,F1,-0.00026513861742166365,23,27,50,0.6718110337653656
lift,fields,en,H3,2.0469356624686836e-05,27,23,50,0.6718110337653656
lift,fields,en,K2,-0.0002576457592001982,23,27,50,0.6718110337653656
