base,pref,domain,n_prompts,js_base_sft,js_base_pref,share
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,medical,28,0.026817,0.045246,0.592702
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,neutral,205,0.08025,0.108597,0.738972
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,other,160,0.065175,0.092661,0.703369
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,police,14,0.039044,0.056446,0.691705
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,power,252,0.029761,0.051332,0.579773
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,profanity,15,0.044014,0.051137,0.860701
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,property,208,0.066322,0.107054,0.619517
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,sensation,1,0.101308,0.111468,0.908855
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,sexual,157,0.084441,0.115738,0.729584
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,substance,15,0.080044,0.112095,0.714077
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,taboo,240,0.067228,0.101933,0.659538
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,unconditional,3,0.270637,0.266413,1.015852
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,utilities,14,0.037747,0.064788,0.582621
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,violence,505,0.078989,0.123805,0.638012
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,animal,100,0.121344,0.130964,0.92654
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,banking,14,0.18507,0.143602,1.288773
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,benefits,14,0.094333,0.104187,0.905419
