source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
T-,T-,O,O,27,49,1049,1.0427,1.1682,0.568172,letter,32
Z,Z,X+,X+,30,49,1841,1.0425,1.1617,0.152408,letter,32
M,M,I,I,29,49,1917,1.0413,1.0932,0.25287,letter,32
F,F,X-,X-,28,49,645,1.0410,1.8500,0.391603,letter,32
N+,N+,A,A,31,49,2170,1.0410,0.9615,0.0854331,letter,32
X,X,L-,L-,27,49,440,1.0406,0.3332,0.568172,letter,32
O-,O-,C,C,22,43,36,1.0404,1.0436,1,letter,32
A+,A+,G+,G+,24,45,79,1.0403,0.8798,0.765992,letter,32
X-,X-,A,A,27,49,1184,1.0401,0.4892,0.568172,letter,32
O,O,K,K,31,49,972,1.0399,1.2532,0.0854331,letter,32
Z,Z,Q,Q,28,50,2001,1.0398,1.1588,0.479888,letter,32
W,W,N-,N-,25,48,223,1.0397,1.1227,0.885433,letter,32
L-,L-,S-,S-,28,49,344,1.0394,2.0749,0.391603,letter,32
H,H,S+,S+,28,50,1289,1.0388,1.0189,0.479888,letter,32
F,F,A+,A+,28,49,1044,1.0386,1.3912,0.391603,letter,32
Z,Z,W,W,26,49,379,1.0382,1.0762,0.77545,letter,32
A+,A+,H,H,27,50,1687,1.0382,0.8790,0.671811,letter,32
F,F,E,E,22,44,64,1.0380,0.8491,1,letter,32
S,S,I-,I-,25,49,514,1.0380,1.1008,1,letter,32
K,K,T,T,26,49,479,1.0379,0.7710,0.77545,letter,32
A+,A+,T+,T+,27,49,1759,1.0367,0.9014,0.568172,letter,32
N,N,X+,X+,26,49,1495,1.0365,1.0313,0.77545,letter,32
X,X,A+,A+,27,50,2023,1.0363,0.7997,0.671811,letter,32
S,S,X+,X+,25,49,1475,1.0360,1.4330,1,letter,32
T,T,X,X,27,49,888,1.0350,1.1944,0.568172,letter,32
O,O,I,I,25,49,1680,1.0347,0.8702,1,letter,32
P,P,N+,N+,25,48,291,1.0347,1.0535,0.885433,letter,32
Z,Z,G,G,25,49,686,1.0343,0.9573,1,letter,32
O,O,G-,G-,26,49,646,1.0343,0.9153,0.77545,letter,32
B,B,H,H,27,49,1098,1.0342,1.3251,0.568172,letter,32
O,O,I+,I+,24,44,65,1.0340,0.8809,0.651588,letter,32
Q,Q,X,X,28,49,2037,1.0335,1.0304,0.391603,letter,32
A+,A+,W,W,27,49,601,1.0333,0.7538,0.568172,letter,32
S-,S-,T+,T+,26,49,736,1.0329,1.1867,0.77545,letter,32
T,T,A+,A+,26,50,1073,1.0325,1.0563,0.887725,letter,32
O,O,N,N,28,49,1650,1.0324,0.9056,0.391603,letter,32
S-,S-,Q,Q,27,49,1212,1.0324,1.1718,0.568172,letter,32
S,S,A+,A+,28,50,1701,1.0320,1.4671,0.479888,letter,32
G,G,A+,A+,25,49,963,1.0307,1.4923,1,letter,32
A+,A+,I,I,31,49,1887,1.0306,0.7528,0.0854331,letter,32
G,G,L+,L+,24,46,54,1.0299,0.7608,0.882996,letter,32
B-,B-,E+,E+,26,49,253,1.0297,0.9800,0.77545,letter,32
B,B,I-,I-,25,48,563,1.0296,1.2042,0.885433,letter,32
H,H,O-,O-,24,47,128,1.0296,0.8784,1,letter,32
A-,A-,N,N,26,49,1800,1.0290,0.8109,0.77545,letter,32
E-,E-,A+,A+,30,49,1644,1.0290,1.1952,0.152408,letter,32
A-,A-,X-,X-,26,48,1409,1.0289,1.1977,0.665466,letter,32
T+,T+,A+,A+,29,49,1741,1.0287,0.6366,0.25287,letter,32
M,M,X-,X-,28,49,1653,1.0280,1.6720,0.391603,letter,32
X+,X+,T+,T+,27,49,1577,1.0276,0.8448,0.568172,letter,32
S-,S-,G-,G-,26,49,312,1.0275,0.8487,0.77545,letter,32
X-,X-,S+,S+,25,49,973,1.0274,0.4872,1,letter,32
X+,X+,A-,A-,27,49,2010,1.0271,0.8533,0.568172,letter,32
Z,Z,T-,T-,25,49,901,1.0265,0.9788,1,letter,32
X,X,G-,G-,27,49,614,1.0254,0.6770,0.568172,letter,32
L,L,S-,S-,24,48,162,1.0254,1.3076,1,letter,32
N,N,F,F,26,49,621,1.0249,0.9085,0.77545,letter,32
F,F,T,T,26,49,503,1.0244,1.4531,0.77545,letter,32
Z,Z,A,A,28,50,2119,1.0241,1.1641,0.479888,letter,32
Q,Q,T+,T+,27,49,1705,1.0237,0.8288,0.568172,letter,32
X,X,G,G,25,49,737,1.0235,0.6976,1,letter,32
H,H,W,W,24,48,245,1.0234,0.9344,1,letter,32
Z,Z,S,S,26,50,1647,1.0226,0.9597,0.887725,letter,32
Q,Q,T,T,29,50,1565,1.0224,0.9235,0.322236,letter,32
A-,A-,Z,Z,25,49,2088,1.0222,0.9146,1,letter,32
X-,X-,B,B,27,49,671,1.0221,0.5006,0.568172,letter,32
I-,I-,S,S,26,49,657,1.0218,1.3615,0.77545,letter,32
H,H,G,G,25,50,493,1.0216,0.8853,1,letter,32
A,A,Z,Z,30,50,2272,1.0202,1.0383,0.202639,letter,32
S-,S-,M,M,25,49,1357,1.0197,1.0111,1,letter,32
S,S,A,A,27,50,1707,1.0196,1.1610,0.671811,letter,32
B,B,E+,E+,26,49,976,1.0182,1.1080,0.77545,letter,32
I,I,A+,A+,26,49,1904,1.0181,1.1972,0.77545,letter,32
S+,S+,A-,A-,27,50,1824,1.0175,0.8010,0.671811,letter,32
Z,Z,G-,G-,28,49,527,1.0171,0.9807,0.391603,letter,32
Y,Y,A+,A+,25,49,116,1.0171,1.0047,1,letter,32
P,P,T,T,24,47,157,1.0169,1.3673,1,letter,32
N,N,K,K,26,48,694,1.0167,1.0256,0.665466,letter,32
I,I,G+,G+,23,45,60,1.0163,1.4635,1,letter,32
